Departamento;Municipio;codigo_prestador;nombre_prestador;codigo_habilitacion;numero_sede;nombre;tipo_zona;direccion;barrio;cepo_codigo;centro_poblado;fecha_apertura;nits_nit;naju_codigo;naturaleza;clpr_codigo;clase_prestador;ese;nivel;caracter;sede_principal;habilitado;numero_sede_principal;fecha_corte_REPS
Atlántico;CANDELARIA;0814100159;ESE HOSPITAL DE CANDELARIA;0814100159;02;ESE HOSPITAL DE CANDELARIA SEDE LEÑA;RURAL;CALLE 3H # 3 - 02;;;;20170127;802010301;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;CANDELARIA;0814100159;ESE HOSPITAL DE CANDELARIA;0814100159;03;ESE HOSPITAL DE CANDELARIA SEDE CARRETO;RURAL;CALLE 6 # 1 - 60;;8141001;SAN JOSÉ DEL CARRETAL;20170127;802010301;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;GALAPA;0829600021;EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE GALAPA;0829600021;01;EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE GALAPA;URBANA;CALLE 12 KR 16 ESQ;CENTRO;;;20061117;802007798;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;JUAN DE ACOSTA;0837200152;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE JUAN DE ACOSTA;0837200152;02;PUESTO DE SALUD DE SAN JOSE DE SACO;RURAL;CALLE 6 # 6 - 56;CALLE PRINCIPAL;;;20070517;802003414;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;JUAN DE ACOSTA;0837200152;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE JUAN DE ACOSTA;0837200152;01;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE JUAN DE ACOSTA;URBANA;CALLE 7 # 4A 39;VAIVEN;;;20061117;802003414;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;JUAN DE ACOSTA;0837200152;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE JUAN DE ACOSTA;0837200152;04;PUESTO DE SALUD DE SANTA VERONICA;URBANA;CALLE 7 N 13-18;SANTA VERONICA;;;20160316;802003414;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;JUAN DE ACOSTA;0837200152;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE JUAN DE ACOSTA;0837200152;03;PUESTO DE SALUD DE CHORRERA;RURAL;CARRERA 4 NO. 4-20;LOS ALMENDROS;;;20070517;802003414;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;LURUACO;0842100144;ESE HOSPITAL LOCAL DE LURUACO;0842100144;03;PUESTO DE SALUD LOS PENDALES;RURAL;CALLE 2 # 5-62;COORDIALIDAD;8421003;LOS PENDALES;20160316;890103025;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;LURUACO;0842100144;ESE HOSPITAL LOCAL DE LURUACO;0842100144;04;PUESTO DE SALUD DE PALMAR DE CANDELARIA;RURAL;CALLE6 # 6-14;CENTRO;8421002;PALMAR DE CANDELARIA;20160316;890103025;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;LURUACO;0842100144;ESE HOSPITAL LOCAL DE LURUACO;0842100144;06;PUESTO DE SALUD SAN JUAN DE TOCAGUA;RURAL;CARRERA 2 #2-01;CENTRO;8421004;SAN JUAN DE TOCAGUA;20160420;890103025;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;LURUACO;0842100144;ESE HOSPITAL LOCAL DE LURUACO;0842100144;01;ESE HOSPITAL LOCAL DE LURUACO;URBANA;CARRERA 20 # 21 - 181;LA CORDIALIDAD;8421000;LURUACO;20160212;890103025;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;LURUACO;0842100144;ESE HOSPITAL LOCAL DE LURUACO;0842100144;05;PUESTO DE SALUD DE ARROYO DE PIEDRA;RURAL;CARRERA 4 # CARRERA 6 - 91;CENTRO;8421001;ARROYO DE PIEDRA;20160316;890103025;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;LURUACO;0842100144;ESE HOSPITAL LOCAL DE LURUACO;0842100144;02;PUESTO DE SALUD SANTA CRUZ;RURAL;CARRERA 6 # 6-186;CENTRO;;;20160311;890103025;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;MALAMBO;0843300151;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE MALAMBO;0843300151;03;PUESTO DE SALUD DE CARACOLI;RURAL;CALLE 10 # 9 - 04;CENTRO;;;20061117;802009806;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;MALAMBO;0843300151;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE MALAMBO;0843300151;01;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE MALAMBO;URBANA;CALLE 10 A # 23 -93;CENTRO;;;20061117;802009806;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;MALAMBO;0843300151;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE MALAMBO;0843300151;06;PUESTO DE SALUD SAN MARTIN;URBANA;CARRERA 6BS N 15A - 10;San Martin;8433000;MALAMBO;20130625;802009806;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;MALAMBO;0843300151;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE MALAMBO;0843300151;04;PUESTO DE SALUD MESOLANDIA;URBANA;CARRERA 40 # 8 - 30;MESOLANDIA;;;20061117;802009806;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;MALAMBO;0843300151;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE MALAMBO;0843300151;02;PUESTO DE SALUD DE BELLAVISTA;URBANA;CARRERA 5 SUR # 11 A 4 -1 7;BELLAVISTA;;;20061117;802009806;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;MALAMBO;0843300151;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE MALAMBO;0843300151;05;PUESTO DE SALUD LA BONGA;URBANA;VEREDA LA BONGA;La Bonga;;;20161128;802009806;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;MANATÍ;0843600078;HOSPITAL DE MANATI ESE;0843600078;02;PUESTO DE SALUD LAS COMPUERTA;RURAL;CALLE PRINCIPAL DE LAS COMPUERTAS;CALLE PRINCIPAL;8436001;EL PORVENIR (LAS COMPUERTAS);20140825;802010401;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;MANATÍ;0843600078;HOSPITAL DE MANATI ESE;0843600078;01;HOSPITAL DE MANATI ESE;URBANA;CARRERA 5 B # 6A -52;CEREZAL;;;20061117;802010401;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;PALMAR DE VARELA;0852000074;ESE CENTRO DE SALUD CON CAMAS DE PALMAR DE VARELA;0852000074;01;01 ESE CENTRO DE SALUD CON CAMAS DE PALMAR DE VARELA;URBANA;CALLE 11 N 9-134;ALFONSO LOPEZ;;;20160218;802006267;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;PIOJÓ;0854900461;HOSPITAL VERA JUDITH IMITOLA VLLANUEVA E.S.E;0854900461;06;PUESTO DE SALUD DE HIBACHARO;RURAL;CALLE 10#14-47;san zusi;8549003;HIBACHARO;20191227;802007650;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;PIOJÓ;0854900461;HOSPITAL VERA JUDITH IMITOLA VLLANUEVA E.S.E;0854900461;01;HOSPITAL VERA JUDITH IMITOLA VLLANUEVA E.S.E;URBANA;CALLE 5 # 2 - 05;;8549000;PIOJÓ;20061206;802007650;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;POLONUEVO;0855800157;EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO;0855800157;02;PUESTO DE SALUD DE PITAL DE CARLIN;RURAL;CALLE 2#2-85;;;;20171207;802004549;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;POLONUEVO;0855800157;EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO;0855800157;01;EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO;URBANA;CARRERA 6 # 7 - 05;LA LOMA;8558000;POLONUEVO;20160218;802004549;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;PONEDERA;0856000153;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE PONEDERA;0856000153;02;PUESTO DE SALUD DE PUERTO GIRALDO;RURAL;CALLE 4 NUMERO 6 - 49;las flores;8560003;PUERTO GIRALDO;20061117;802009195;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;PONEDERA;0856000153;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE PONEDERA;0856000153;05;PUESTO DE SALUD DE MARTILLO;RURAL;CALLE PRINCIPAL;;8560002;MARTILLO;20061117;802009195;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;PONEDERA;0856000153;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE PONEDERA;0856000153;04;PUESTO DE SALUD DE SANTA RITA;RURAL;CALLE PRINCIPAL;;;;20061117;802009195;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;PONEDERA;0856000153;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE PONEDERA;0856000153;03;PUESTO DE SALUD LA RETIRADA;RURAL;CALLE PRINCIPAL;;8560001;LA RETIRADA;20061117;802009195;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;PONEDERA;0856000153;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE PONEDERA;0856000153;01;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE PONEDERA;URBANA;CARRERA 14 NUMERO 15 - 60;;;;20061117;802009195;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;PUERTO COLOMBIA;0857300145;ESE HOSPITAL DE PUERTO COLOMBIA;0857300145;01;ESE HOSPITAL DE PUERTO COLOMBIA;URBANA;CALLE 2 # 3 - 13;LA ROSITA;8573000;PUERTO COLOMBIA;20061117;890103406;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;PUERTO COLOMBIA;0857300145;ESE HOSPITAL DE PUERTO COLOMBIA;0857300145;02;PUESTO DE SALUD DE SALGAR;URBANA;CARRERA 9 # 6A - 9;CENTRO;8573002;SALGAR;20061117;890103406;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;REPELÓN;0860600156;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE REPELON;0860600156;05;CENTRO DE SALUD DE ARROYO NEGRO;RURAL;ARROYO NEGRO;;;;20061117;802001292;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;REPELÓN;0860600156;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE REPELON;0860600156;02;CENTRO DE SALUD VILLA ROSA;RURAL;CALLE 7 # 7 - 109;PLAZA PRINCIPAL;;;20061117;802001292;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;REPELÓN;0860600156;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE REPELON;0860600156;01;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE REPELON;URBANA;CALLE 8 # 9 - 22;CALLE PRINCIPAL;;;20070423;802001292;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;REPELÓN;0860600156;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE REPELON;0860600156;04;CENTRO DE SALUD DE CIEN PESOS;RURAL;CALLE PRINCIPAL;CALLE PRINCIPAL;;;20061117;802001292;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;REPELÓN;0860600156;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE REPELON;0860600156;03;CENTRO DE SALUD DE ROTINET;RURAL;CARRERA 7 # 11 - 195;;;;20061117;802001292;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;REPELÓN;0860600156;EMPRESA SOCIAL DEL ESTADO HOSPITAL DE REPELON;0860600156;07;CENTRO DE SALUD DE LAS TABLAS;RURAL;LAS TABLAS;CALLE PRINCIPAL;;;20140916;802001292;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANAGRANDE;0863400105;E.S.E. HOSPITAL MUNICIPAL DE SABANAGRANDE;0863400105;01;ESE HOSPITAL MUNICIPAL DE SABANAGRANDE;URBANA;CARRERA 11 # 9-50;;8634000;SABANAGRANDE;20061211;802003081;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800154;ESE HOSPITAL DEPARTAMENTAL DE SABANALARGA;0863800154;01;ESE HOSPITAL DEPARTAMENTAL DE SABANALARGA;URBANA;CALLE 25 # 8 - 25;;;;20061117;890103127;4;Pública;1;Instituciones - IPS;SI;2;DEPARTAMENTAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:13AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;02;CENTRO DE DESARROLLO VECINAL (CDV);URBANA;CALLE 15 ENTRE CARRERA 8 Y 9;;8638000;SABANALARGA;20160215;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;05;PUESTO DE SALUD LA PEÑA;RURAL;CALLE 17 NO 4A-16;;;;20160216;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;01;"ESE CENTRO MATERNO INFANTIL DE SABANALARGA."" ESE CEMINSA""";URBANA;CALLE 28 # 22 - 45;AVENIDA RIBON;8638000;SABANALARGA;20160204;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;07;PUESTO DE SALUD DE ISABEL LOPEZ;RURAL;CALLE 6 # 7A-7;;;;20160216;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;08;PUESTO DE SALUD DE COLOMBIA;RURAL;CALLE 7 # 5-26;;8638003;COLOMBIA;20160218;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;11;PUESTO DE SALUD DE CASCAJAL;RURAL;CARRERA 11 NO 11A-06;;;;20160218;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;06;PUESTO DE SALUD MOLINEROS;RURAL;CARRERA 14 NO 15-89;;;;20160216;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;04;CENTRO DE SALUD CAMPO BOLÍVAR;URBANA;CARRERA 19 NO 9-80;;8638000;SABANALARGA;20160216;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;13;CENTRO DE SALUD PARAISO;URBANA;CARRERA 29 NO 24-133;;;;20160215;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;10;PUESTO DE SALUD DE GALLEGO;RURAL;CARRERA 3 NO 3SN-754;;;;20160218;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SABANALARGA;0863800155;ESE CENTRO MATERNO INFANTIL DE SABANALARGA;0863800155;09;PUESTO DE SALUD AGUADA DE PABLO;RURAL;CARRERA 4 NO 4-15;;;;20160218;802010241;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SANTA LUCÍA;0867500464;E.S.E. CENTRO DE SALUD DE SANTA LUCIA;0867500464;03;PUESTO DE SALUD ALGODONAL;RURAL;ALGODONAL;ALGODONAL;;;20061117;802006991;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SANTA LUCÍA;0867500464;E.S.E. CENTRO DE SALUD DE SANTA LUCIA;0867500464;01;E.S.E. CENTRO DE SALUD DE SANTA LUCIA;URBANA;CALLE 7 # 4 - 12;CENTRO;;;20061117;802006991;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SANTO TOMÁS;0868500110;ESE HOSPITAL DE SANTO TOMAS;0868500110;01;ESE HOSPITAL DE SANTO TOMAS;URBANA;CARRERA 13 # 11 - 70;EL CARMEN;;;20061117;800174123;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SOLEDAD;0875800147;HOSPITAL DEPARTAMENTAL JUAN DOMINGUEZ ROMERO E.S.E SOLEDAD - ATLANTICO;0875800147;01;HOSPITAL DEPARTAMENTAL JUAN DOMINGUEZ ROMERO E.S.E SOLEDAD - ATLANTICO;URBANA;CALLE 15 # 21 -60;CENTRO;;;20061116;802009766;4;Pública;1;Instituciones - IPS;SI;2;DEPARTAMENTAL;SI;SI;01;Fecha corte REPS: Oct 6 2020 10:13AM
Atlántico;SOLEDAD;0875800161;EMPRESA SOCIAL DEL ESTADO HOSPITAL MATERNO INFANTIL CIUDADELA METROPOLITANA DE SOLEDAD;0875800161;08;CENTRODE SALUD EL PARQUE;URBANA;CALLE 43  # 43 A - 11;EL PARQUE;;;20121203;802013023;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SOLEDAD;0875800161;EMPRESA SOCIAL DEL ESTADO HOSPITAL MATERNO INFANTIL CIUDADELA METROPOLITANA DE SOLEDAD;0875800161;09;EMPRESA SOCIAL DEL ESTADO HOSPITAL MATERNO INFANTIL CIUDADELA MACLOVIA NIEBLES;URBANA;CALLE 69 N 15 A 23;VILLA ESTADIO;;;20130509;802013023;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SOLEDAD;0875800161;EMPRESA SOCIAL DEL ESTADO HOSPITAL MATERNO INFANTIL CIUDADELA METROPOLITANA DE SOLEDAD;0875800161;07;HTAL MATERNO INFANTIL DE SOLEDAD SEDE MANUELA BELTRAN;URBANA;CARRERA 10A  # 40 - 04 ESQ;MANUELA BELTRAN;;;20090311;802013023;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
Atlántico;SOLEDAD;0875800161;EMPRESA SOCIAL DEL ESTADO HOSPITAL MATERNO INFANTIL CIUDADELA METROPOLITANA DE SOLEDAD;0875800161;03;PUESTO DE SALUD VILLA ESTADIO;URBANA;CARRERA 14 A NO 69 - 11;VILLA ESTADIO;;;20061116;802013023;4;Pública;1;Instituciones - IPS;SI;1;MUNICIPAL;NO;SI;01;Fecha corte REPS: Oct 6 2020 10:28AM
