AÑO,TRIMESTRE,PROVEEDOR,DEPARTAMENTO,MUNICIPIO,CABECERA MUNICIPAL,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PIOJÓ,N,AGUAS VIVAS,S,S,S,N,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,TUBARÁ,N,CORRAL DE SAN LUIS,S,N,N,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,SANTA CRUZ,S,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PALMAR DE VARELA,S,PALMAR DE VARELA,S,S,S,S,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SABANALARGA,S,SABANALARGA,N,S,S,S,N,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,PALMAR DE VARELA,S,PALMAR DE VARELA,N,S,S,S,N,N
2023,2,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,PUERTO COLOMBIA,S,PUERTO COLOMBIA,N,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PIOJÓ,N,EL CERRITO,S,S,S,N,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,N,SALGAR,S,S,S,N,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,LURUACO,N,ARROYO DE PIEDRA,S,S,S,S,N,N
2021,4,AVANTEL S.A.S,ATLÁNTICO,MALAMBO,S,MALAMBO,S,S,S,S,N,N
2021,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,REPELÓN,N,ROTINET,S,N,N,N,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,POLONUEVO,S,POLONUEVO,N,S,S,S,N,N
2022,4,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,LURUACO,S,LURUACO,N,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,CANDELARIA,N,BUENAVENTURA DE LEÑA,S,N,N,N,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,JUAN DE ACOSTA,S,JUAN DE ACOSTA,S,S,S,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,BARANOA,S,BARANOA,S,S,S,S,N,N
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,POLONUEVO,N,PITAL DEL CARLÍN (PITALITO),N,N,N,N,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,JUAN DE ACOSTA,N,SANTA VERÓNICA,S,S,S,S,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,MALAMBO,S,MALAMBO,S,S,S,S,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PONEDERA,N,PUERTO GIRALDO,S,S,S,S,N,N
2022,3,AVANTEL S.A.S,ATLÁNTICO,SABANAGRANDE,S,SABANAGRANDE,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,CANDELARIA,S,CANDELARIA,N,S,S,N,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,N,SABANILLA (MONTE CARMELO),S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,BARANOA,N,CAMPECHE,S,S,S,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,CAMPO DE LA CRUZ,S,CAMPO DE LA CRUZ,S,S,S,S,N,N
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,TUBARÁ,N,CORRAL DE SAN LUIS,S,N,N,N,N,N
2021,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,MALAMBO,S,MALAMBO,S,S,S,S,N,N
2021,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,JUAN DE ACOSTA,S,JUAN DE ACOSTA,N,N,N,N,S,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,BARANOA,S,BARANOA,N,S,S,S,N,N
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,TUBARÁ,S,TUBARÁ,S,S,S,N,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PIOJÓ,S,PIOJÓ,S,S,S,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,PALMAR DE CANDELARIA,S,N,N,N,N,N
2023,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SANTO TOMÁS,S,SANTO TOMÁS,N,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,SABANALARGA,S,SABANALARGA,S,S,S,S,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SABANALARGA,N,AGUADA DE PABLO,S,S,S,S,N,N
2021,4,AVANTEL S.A.S,ATLÁNTICO,JUAN DE ACOSTA,S,JUAN DE ACOSTA,S,S,S,S,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,LAS TABLAS,S,S,S,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,JUAN DE ACOSTA,N,SANTA VERÓNICA,S,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,CIEN PESOS,S,S,S,N,N,N
2022,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,REPELÓN,N,VILLA ROSA,S,S,S,S,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,USIACURÍ,S,USIACURÍ,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,LURUACO,N,SAN JUAN DE TOCAGUA,S,N,N,N,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SABANALARGA,N,MIRADOR,S,S,S,S,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,CAMPO DE LA CRUZ,S,CAMPO DE LA CRUZ,S,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,S,LURUACO,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,S,LURUACO,S,S,S,N,S,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,LURUACO,N,LOS LÍMITES,S,N,N,N,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SABANAGRANDE,S,SABANAGRANDE,S,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,BARANOA,N,PITAL,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SANTO TOMÁS,S,SANTO TOMÁS,S,S,S,S,N,N
2022,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,PONEDERA,N,PUERTO GIRALDO,S,S,S,S,N,N
2023,3,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,SANTO TOMÁS,S,SANTO TOMÁS,N,S,S,S,N,N
2021,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,PONEDERA,S,PONEDERA,N,N,N,N,S,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,LURUACO,N,LOS LÍMITES,S,N,N,N,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PIOJÓ,S,PIOJÓ,S,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,CANDELARIA,N,SAN JOSÉ DEL CARRETAL,S,S,S,N,N,N
2022,1,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,CAMPO DE LA CRUZ,S,CAMPO DE LA CRUZ,N,S,S,S,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,USIACURÍ,S,USIACURÍ,S,S,S,S,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,MALAMBO,N,CARACOLÍ,S,S,S,S,N,N
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,REPELÓN,N,VILLA ROSA,N,N,N,N,N,N
2021,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SANTA LUCÍA,S,SANTA LUCÍA,S,S,S,S,N,N
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,USIACURÍ,S,USIACURÍ,S,S,S,N,N,N
2022,2,AVANTEL S.A.S,ATLÁNTICO,USIACURÍ,S,USIACURÍ,S,S,S,S,N,N
2021,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,BARANOA,N,CAMPECHE,S,S,S,N,N,N
2023,2,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,SANTO TOMÁS,S,SANTO TOMÁS,N,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,MANATÍ,N,EL PORVENIR (LAS COMPUERTAS),S,S,S,S,N,N
2023,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,PONEDERA,S,PONEDERA,N,S,S,S,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PIOJÓ,N,AGUAS VIVAS,S,N,N,N,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,N,SALGAR,S,S,S,N,N,N
2021,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,SABANALARGA,S,SABANALARGA,S,S,S,N,S,N
2023,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,PUERTO COLOMBIA,N,SALGAR,N,S,S,S,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,SAN JUAN DE TOCAGUA,S,S,N,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SANTA LUCÍA,N,ALGODONAL,S,S,S,S,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,ARROYO DE PIEDRA,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PIOJÓ,N,EL CERRITO,S,S,S,S,N,N
2023,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,BARANOA,S,BARANOA,N,S,S,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PONEDERA,N,SANTA RITA,S,S,S,S,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,PLAYA MENDOZA,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,S,TUBARÁ,S,S,S,S,N,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,S,PUERTO COLOMBIA,S,S,S,S,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PUERTO COLOMBIA,N,SABANILLA (MONTE CARMELO),S,S,S,S,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PALMAR DE VARELA,S,PALMAR DE VARELA,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,REPELÓN,N,VILLA ROSA,S,S,S,N,N,N
2022,1,AVANTEL S.A.S,ATLÁNTICO,SANTO TOMÁS,S,SANTO TOMÁS,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,N,SABANILLA (MONTE CARMELO),S,S,S,S,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,LURUACO,S,LURUACO,S,S,S,S,N,N
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,BARANOA,N,PITAL,S,S,S,N,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PONEDERA,S,PONEDERA,S,S,S,S,N,N
2022,4,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,BARRANQUILLA,S,BARRANQUILLA,N,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,CORRAL DE SAN LUIS,S,S,S,N,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,NUEVA ESPERANZA,S,S,S,N,S,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,S,LURUACO,S,S,S,S,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PONEDERA,N,LA RETIRADA,S,S,S,S,N,N
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,TUBARÁ,N,JUARUCO,S,N,N,N,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,CANDELARIA,S,CANDELARIA,S,S,S,S,N,N
2023,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,PUERTO COLOMBIA,N,SALGAR,S,S,S,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,BARANOA,N,CAMPECHE,S,S,S,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,PLAYA MENDOZA,S,S,S,S,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,SANTA LUCÍA,N,ALGODONAL,S,N,N,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,EL MORRO,S,S,S,S,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,CUATRO BOCAS,S,S,S,S,N,N
2021,4,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,USIACURÍ,S,USIACURÍ,N,S,S,N,N,N
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,JUAN DE ACOSTA,N,SANTA VERÓNICA,S,S,S,N,N,N
2022,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,LURUACO,N,SANTA CRUZ,N,S,S,S,N,N
2022,3,AVANTEL S.A.S,ATLÁNTICO,POLONUEVO,S,POLONUEVO,S,S,S,S,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,LURUACO,S,LURUACO,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SOLEDAD,S,SOLEDAD,S,S,S,S,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,CUATRO BOCAS,S,S,S,S,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SABANALARGA,N,ISABEL LÓPEZ,S,S,S,S,N,N
2022,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SUAN,S,SUAN,S,S,S,S,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SABANAGRANDE,S,SABANAGRANDE,S,S,S,S,N,N
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,TUBARÁ,N,PLAYA MENDOZA,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,SABANALARGA,N,COLOMBIA,S,N,N,N,N,N
2021,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SABANAGRANDE,S,SABANAGRANDE,S,S,S,S,N,N
2023,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,CANDELARIA,N,BUENAVENTURA DE LEÑA,N,S,S,S,N,N
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,MALAMBO,S,MALAMBO,S,S,N,S,N,N
2021,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,LURUACO,N,SANTA CRUZ,N,N,N,N,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,SOLEDAD,S,SOLEDAD,S,S,S,S,N,N
2023,3,PARTNERS TELECOM COLOMBIA SAS,ATLÁNTICO,SABANAGRANDE,S,SABANAGRANDE,N,S,S,S,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,CANDELARIA,S,CANDELARIA,S,S,S,S,N,N
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,SUAN,S,SUAN,S,S,S,N,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,MANATÍ,S,MANATÍ,N,S,S,N,N,N
2022,1,AVANTEL S.A.S,ATLÁNTICO,SABANALARGA,S,SABANALARGA,S,S,S,S,N,N
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,TUBARÁ,N,JUARUCO,S,N,N,N,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,PUERTO COLOMBIA,S,PUERTO COLOMBIA,S,S,S,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,MANATÍ,N,EL PORVENIR (LAS COMPUERTAS),S,S,S,S,N,N
2021,4,AVANTEL S.A.S,ATLÁNTICO,USIACURÍ,S,USIACURÍ,S,S,S,S,N,N
2021,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,CAMPO DE LA CRUZ,S,CAMPO DE LA CRUZ,S,S,S,S,N,N
2021,2,AVANTEL S.A.S,ATLÁNTICO,SUAN,S,SUAN,S,S,S,N,N,N
2021,3,AVANTEL S.A.S,ATLÁNTICO,SANTA LUCÍA,S,SANTA LUCÍA,S,S,S,N,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,LOS PENDALES,S,S,S,S,N,N
2022,1,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,LURUACO,N,PALMAR DE CANDELARIA,N,S,S,S,N,N
2023,2,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,LA PUNTICA,S,S,S,S,N,N
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,TUBARÁ,N,NUEVA ESPERANZA,S,N,N,N,N,N
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,ATLÁNTICO,SABANALARGA,N,AGUADA DE PABLO,N,N,N,N,N,N
2022,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,PALMAR DE CANDELARIA,S,N,N,N,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,LURUACO,N,LOS LÍMITES,S,S,S,N,N,N
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,ATLÁNTICO,SABANALARGA,N,AGUADA DE PABLO,N,N,N,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,ATLÁNTICO,TUBARÁ,N,CORRAL DE SAN LUIS,S,S,N,N,N,N
2021,3,COLOMBIA MOVIL  S.A ESP,ATLÁNTICO,LURUACO,S,LURUACO,S,S,S,S,N,N
